Ticker symbol;Security;SEC filings;GICS Sector;GICS Code;GICS Sub Industry;GICS Sub-Code;Address of Headquarters;Date first added;CIK
BEN;Franklin Resources;reports;Financials;40;Asset Management & Custody Banks;40203010;San Mateo, California;;38777
FCX;Freeport-McMoRan Inc.;reports;Materials;15;Copper;15104025;Phoenix, Arizona;;831259
GPS;Gap Inc.;reports;Consumer Discretionary;25;Apparel Retail;25504010;San Francisco, California;31.08.1986;39911
GRMN;Garmin Ltd.;reports;Consumer Discretionary;25;Consumer Electronics;25201010;Schaffhausen, Switzerland;12.12.2012;1121788
IT;Gartner Inc;reports;Information Technology;45;IT Consulting & Other Services;45102010;Stamford, Connecticut;05.04.2017;749251
GD;General Dynamics;reports;Industrials;20;Aerospace & Defense;20101010;Falls Church, Virginia;;40533
GE;General Electric;reports;Industrials;20;Industrial Conglomerates;20105010;Boston, Massachusetts;;40545
GGP;General Growth Properties Inc.;reports;Real Estate;60;Retail REITs;60101070;Chicago, Illinois;10.12.2013;895648
GIS;General Mills;reports;Consumer Staples;30;Packaged Foods & Meats;30202030;Golden Valley, Minnesota;31.03.1969;40704
GM;General Motors;reports;Consumer Discretionary;25;Automobile Manufacturers;25102010;Detroit, Michigan;06.06.2013;1467858
GPC;Genuine Parts;reports;Consumer Discretionary;25;Specialty Stores;25504040;Atlanta, Georgia;31.12.1973;40987
GILD;Gilead Sciences;reports;Health Care;35;Biotechnology;35201010;Foster City, California;01.07.2004;882095
GPN;Global Payments Inc.;reports;Information Technology;45;Data Processing & Outsourced Services;45102020;Atlanta, Georgia;25.04.2016;1123360
GS;Goldman Sachs Group;reports;Financials;40;Investment Banking & Brokerage;40203020;New York, New York;22.07.2002;886982
GT;Goodyear Tire & Rubber;reports;Consumer Discretionary;25;Tires & Rubber;25101020;Akron, Ohio;;42582
GWW;Grainger (W.W.) Inc.;reports;Industrials;20;Industrial Machinery;20106020;Lake Forest, Illinois;30.06.1981;277135
HAL;Halliburton Co.;reports;Energy;10;Oil & Gas Equipment & Services;10101020;Houston, Texas;;45012
HBI;Hanesbrands Inc;reports;Consumer Discretionary;25;Apparel, Accessories & Luxury Goods;25203010;Winston-Salem, North Carolina;20.03.2015;1359841
HOG;Harley-Davidson;reports;Consumer Discretionary;25;Motorcycle Manufacturers;25102020;Milwaukee, Wisconsin;;793952
HRS;Harris Corporation;reports;Information Technology;45;Communications Equipment;45201020;Melbourne, Florida;22.09.2008;202058
HIG;Hartford Financial Svc.Gp.;reports;Financials;40;Property & Casualty Insurance;40301040;Hartford, Connecticut;;874766
HAS;Hasbro Inc.;reports;Consumer Discretionary;25;Leisure Products;25202010;Pawtucket, Rhode Island;30.09.1984;46080
HCA;HCA Holdings;reports;Health Care;35;Health Care Facilities;35102020;Nashville, Tennessee;27.01.2015;860730
HCP;HCP Inc.;reports;Real Estate;60;Health Care REITs;60101050;Long Beach, California;31.03.2008;765880
HP;Helmerich & Payne;reports;Energy;10;Oil & Gas Drilling;10101010;Tulsa, Oklahoma[5];01.03.2010;46765
HSIC;Henry Schein;reports;Health Care;35;Health Care Distributors;35102010;Melville, New York;17.03.2015;1000228
HSY;The Hershey Company;reports;Consumer Staples;30;Packaged Foods & Meats;30202030;Hershey, Pennsylvania;;47111
HES;Hess Corporation;reports;Energy;10;Integrated Oil & Gas;10102010;New York, New York;31.05.1984;4447
HPE;Hewlett Packard Enterprise;reports;Information Technology;45;Technology Hardware, Storage & Peripherals;45202030;Palo Alto, California;02.11.2015;1645590
HLT;Hilton Worldwide Holdings Inc;reports;Consumer Discretionary;25;Hotels, Resorts & Cruise Lines;25301020;Tysons Corner, Virginia;19.06.2017;1585689
HOLX;Hologic;reports;Health Care;35;Health Care Equipment;35101010;Marlborough, Massachusetts;30.03.2016;859737
HD;Home Depot;reports;Consumer Discretionary;25;Home Improvement Retail;25504030;Atlanta, Georgia;31.03.1988;354950
